user_snippet,x-axis__sum_values,x-axis__median,x-axis__mean,x-axis__length,x-axis__standard_deviation,x-axis__variance,x-axis__root_mean_square,x-axis__maximum,x-axis__absolute_maximum,x-axis__minimum,y-axis__sum_values,y-axis__median,y-axis__mean,y-axis__length,y-axis__standard_deviation,y-axis__variance,y-axis__root_mean_square,y-axis__maximum,y-axis__absolute_maximum,y-axis__minimum,z-axis__sum_values,z-axis__median,z-axis__mean,z-axis__length,z-axis__standard_deviation,z-axis__variance,z-axis__root_mean_square,z-axis__maximum,z-axis__absolute_maximum,z-axis__minimum,x-axis__fft_peak,x-axis__hjorth_mobility,x-axis__hjorth_complexity,x-axis__rolling_mean,x-axis__rolling_std,x-axis__zero_crossing_rate,x-axis__spectral_energy,x-axis__spectral_entropy,x-axis__iqr,x-axis__coeff_var,x-axis__energy,x-axis_MAD,x-axis_range,x-axis_kurtosis,x-axis_skewness,y-axis__fft_peak,y-axis__hjorth_mobility,y-axis__hjorth_complexity,y-axis__rolling_mean,y-axis__rolling_std,y-axis__zero_crossing_rate,y-axis__spectral_energy,y-axis__spectral_entropy,y-axis__iqr,y-axis__coeff_var,y-axis__energy,y-axis_MAD,y-axis_range,y-axis_kurtosis,y-axis_skewness,z-axis__fft_peak,z-axis__hjorth_mobility,z-axis__hjorth_complexity,z-axis__rolling_mean,z-axis__rolling_std,z-axis__zero_crossing_rate,z-axis__spectral_energy,z-axis__spectral_entropy,z-axis__iqr,z-axis__coeff_var,z-axis__energy,z-axis_MAD,z-axis_range,z-axis_kurtosis,z-axis_skewness,sma,corr_xy,corr_xz,corr_yz,jerk_x_mean,jerk_x_std,jerk_y_mean,jerk_y_std,jerk_z_mean,jerk_z_std
8054_0,880.46,8.559999999999999,8.8046,100.0,5.146707572808076,26.48859884,10.198508714513116,19.53,19.53,-1.04,517.84,4.615,5.1784,100.0,3.8064767751820057,14.489265440000002,6.426903764644371,17.24,17.24,-2.49,-6.605867290000002,-0.7627395,-0.0660586729,100.0,3.058799273179344,9.356252993602482,3.05951250068827,9.615966,9.615966,-9.152874,880.46,1.114718173075784,1.390311309650542,9.001943333333333,4.094726371288246,0.09,2398.4455329949255,4.271407500535348,6.8425,0.5845475743143442,10400.958,4.134276,20.57,-0.5455704791991156,0.1378330582723534,517.8399999999999,1.1394948979215476,1.1938310999637056,5.086561666666667,3.3646553938164048,0.1,1242.9607550734302,3.9007293482828302,3.9225000000000003,0.7350681243592626,4130.5091999999995,2.903008,19.729999999999997,0.5197937670941224,0.7187874056394157,89.32389040018515,1.5619853861461221,1.1552033703142817,-0.042817818333333174,2.7759775510377622,0.48,878.6037001374016,4.63737787010032,2.863678075,-46.304279800016126,936.0616741867792,2.23945761032,18.76884,1.6379042855286485,0.8046164195531086,16.4478693449,-0.20114252838015792,0.07887454564827164,-0.20425285186340064,-0.002686868686868688,0.1153203081158399,0.0005353535353535363,0.08718622738183499,0.0002228784242424241,0.09603738614210548
8054_1,552.8799999999999,5.52,5.528799999999999,100.0,0.0391734604036966,0.0015345599999999,5.528938777016797,5.63,5.63,5.43,251.05000000000004,2.53,2.5105000000000004,100.0,0.0283328431330142,0.0008027499999999,2.510659873419735,2.56,2.56,2.45,823.6700000000001,8.24,8.2367,100.0,0.0374447593128866,0.00140211,8.236785113137286,8.31,8.31,8.12,552.8799999999999,1.194991808235335,1.297954048275968,5.527768333333333,0.03434387634687275,0.0,0.13386355430299576,4.919868295706626,0.040000000000000036,0.007085345898512631,3056.916399999999,0.03043999999999958,0.20000000000000018,0.1526440813051373,0.024056682121236034,251.05,1.1999377124911996,1.3909437993472533,2.5109666666666666,0.024645267460999723,0.0,0.07768492325120194,5.212091935444459,0.03999999999999959,0.011285737157145679,630.3413,0.025259999999999786,0.10999999999999988,-0.47500742203032065,-0.3963319893717123,823.6699999999998,1.19189001475647,1.318328956597378,8.236233333333333,0.03273000391748559,0.0,0.12683026899909003,5.127562908277876,0.05000000000000071,0.004546087548761838,6784.462900000001,0.02755399999999989,0.19000000000000128,0.579993420450692,-0.3469065552870371,16.276,0.2735392635152146,-0.2249460206173728,-0.052171872555107676,1.6161616161615995e-05,0.0009409544982726861,-8.080808080808001e-06,0.0006833779390728558,8.08080808080825e-06,0.0008970970880508156
8054_2,848.84,8.045,8.4884,100.0,4.789061853849875,22.935113439999995,9.74618120086016,19.57,19.57,-1.5,528.3299999999999,4.805,5.2833,100.0,3.656953391827684,13.373308110000004,6.42546239581246,14.29,14.29,-2.79,-7.995143741999997,-0.21111539,-0.0799514374199999,100.0,3.1788909309858577,10.105347551104131,3.1798961906719,9.656827,9.656827,-7.014479,848.84,1.1400337058315457,1.3295661930959288,8.467236666666668,3.960066190280468,0.08,2101.5017899042637,4.401965495103232,4.697500000000001,0.5641889936678143,9498.8048,3.5461440000000004,21.07,0.22526195618508726,0.28188047767828955,528.33,1.0610940773735666,1.3279193001896787,5.147823333333334,3.147907462702972,0.1,1218.61088993383,3.5634036900897605,3.7024999999999997,0.6921722014323783,4128.6567,2.746891999999999,17.08,0.10658197671919778,0.24711876447991454,88.4545123467353,1.5489596650198476,1.1336096943430467,-0.0030554944533332158,3.0469757278035563,0.51,1073.7284216101884,4.393595506607811,3.4834039499999996,-39.76027240494182,1011.1739783449659,2.3704907725864,16.671306,0.5349355478952553,0.44605425877738425,16.520804108460002,-0.28554321695738977,-0.041315330563421536,-0.2937975466613257,0.001252525252525254,0.10974386556421564,0.0009979797979797992,0.07799833976450905,-0.0005640749898989918,0.09897558196829485
8054_3,100.93,0.99,1.0093,100.0,0.0445253860174171,0.00198251,1.0102816438993634,1.12,1.12,0.89,992.36,9.92,9.9236,100.0,0.020372530525195,0.00041504,9.92362091174386,10.0,10.0,9.89,29.77,0.31,0.2977,100.0,0.0320579163390261,0.00102771,0.299421108140358,0.34,0.34,0.19,100.93,1.2255837283229618,1.2966137837760852,1.0089166666666667,0.04069584454186724,0.0,0.16421471052933612,4.865110716805811,0.050000000000000044,0.04411511544378986,102.0669,0.038458000000000034,0.2300000000000001,-0.38053454800554665,0.015108003126825113,992.3600000000001,1.4716791216711234,1.1929987136673907,9.923648333333336,0.01818872481336782,0.0,0.04084344830154825,5.204185138355755,0.0,0.0020529374949811653,9847.8252,0.013176000000000396,0.10999999999999943,1.4970247454387762,0.897757465233344,29.770000000000003,1.39758213891414,1.2214677902185949,0.29851333333333335,0.030079118933125572,0.0,0.09686681955509566,4.92726300053173,0.03999999999999998,0.10768530849521717,8.9653,0.02689799999999999,0.15000000000000002,0.21989642912232954,-0.676454526760157,11.230599999999999,0.002778099973109514,0.18802835467943765,0.21785302168977824,8.08080808080809e-06,0.0010968897044703657,6.060606060605941e-06,0.0006026571100439349,-1.6161616161616168e-05,0.0009005842178698093
8054_4,845.5200000000001,7.97,8.455200000000001,100.0,4.858636121382213,23.60634496,9.751756354626586,19.57,19.57,-2.45,523.3199999999999,4.77,5.233199999999999,100.0,3.628599421264353,13.16673376,6.36813285037302,15.51,15.51,-2.83,1.757023789999997,-0.4835223399999999,0.0175702378999999,100.0,3.475728186888285,12.080686429129724,3.4757725964725577,10.310603,10.310603,-9.956474,845.52,1.1455711440603233,1.3901471700793053,8.343250000000001,3.846693138756091,0.1,2210.962983304224,4.287386874735682,4.210000000000001,0.5746329029925031,9509.6752,3.5739200000000007,22.02,0.20205915545194975,0.08000177892095177,523.3199999999999,1.1371941801452363,1.2710818928011094,5.188096666666667,3.1228551898168857,0.1,1260.3950122539761,4.016148285360971,3.5199999999999996,0.6933806124865004,4055.3116,2.692112,18.34,0.6706103345086469,0.629404601578473,88.96101719015911,1.6348018873868757,1.1009370974874082,0.022257907193333346,3.1124642840755206,0.44,878.3918109954387,4.855650349914288,3.1939715250000003,197.8190737467642,1208.0995142389586,2.468617183048,20.267077,1.4312513917579173,0.6236323653346367,16.5327087545,-0.1670110751601787,-0.04732339854170794,-0.23702157855290615,0.0008828282828282812,0.11187903283439848,0.0005515151515151516,0.08294418759189864,-0.00024213950505050662,0.11421504755476217
8054_5,600.28,5.09,6.0028,100.0,4.810119765660726,23.13725216,7.692259746004422,18.43,18.43,-2.49,858.8599999999999,7.59,8.5886,100.0,3.761375551576843,14.14794604,9.376139717389028,19.34,19.34,2.79,70.17203112000001,-0.6946377,0.7017203112000001,100.0,4.4085695292502445,19.435485294233725,4.464067281010038,13.484144,13.484144,-5.8976107,600.28,1.1140087344025118,1.39581921268801,5.830456666666666,4.249168870835932,0.12,2296.398294624534,4.194801115823608,6.569999999999999,0.8013126816919981,5917.086,3.8980479999999993,20.92,-0.25130053143224984,0.5274185110825682,858.86,1.3112532970701416,1.1967622825412578,8.511865,3.558331092162561,0.0,1717.1131421044981,4.470011520990127,5.237499999999999,0.43794978827478787,8791.1996,3.0636360000000002,16.55,-0.09123792888020077,0.781832545296644,100.37042726711203,1.343546616697271,1.2212010852316784,0.6391983763083335,4.014335718828683,0.39,2020.5515311235217,4.8453541343223465,6.204068375,6.282516636451956,1992.7896689384354,3.6356086180880003,19.381754700000002,-0.06001636841514957,0.8321683928771985,18.3346540564,0.12825201141044112,0.4727734142591373,-0.05311463763279527,0.0008202020202020207,0.10771018163684441,0.0018626262626262628,0.09913908868974972,-0.0003081775555555537,0.1190591610743917
8054_6,544.7699999999999,5.43,5.447699999999998,100.0,0.05120263665086,0.0026217099999999,5.447940620087557,5.56,5.56,5.28,256.25,2.56,2.5625,100.0,0.0302448342696732,0.00091475,2.562678481589136,2.64,2.64,2.45,825.3199999999998,8.24,8.253199999999998,100.0,0.0321521383425737,0.0010337599999999,8.253262627591587,8.31,8.31,8.16,544.77,0.9172231117056953,1.7477230614414883,5.446528333333333,0.03684063630892373,0.0,0.31331338464567154,4.313129589437228,0.07000000000000028,0.009398945729548257,2968.0056999999997,0.04313199999999982,0.27999999999999936,0.1401303859527947,0.0607274973556591,256.25,1.2339862459550928,1.3243403847442894,2.5620999999999996,0.02605250109796518,0.0,0.06578850539695792,5.093200083809411,0.01750000000000007,0.011802862154018844,656.7321,0.021150000000000037,0.18999999999999995,1.3644381978537465,-0.013960946576078652,825.3199999999999,1.290584766239117,1.3350959907858675,8.252811666666666,0.0281976681691847,0.0,0.09444682774156452,5.098212213025817,0.03999999999999915,0.0038957178237015626,6811.6344,0.02731199999999948,0.15000000000000036,-0.3637214090922263,-0.2249520190929125,16.2634,0.13027767790578784,-0.2530805533782523,0.051417260452298906,1.2121212121212017e-05,0.0009440159996153916,6.06060606060612e-06,0.0007501943427422415,8.08080808080791e-06,0.0008340816964172858
8054_7,859.07,8.28,8.5907,100.0,4.385385788046475,19.23160851,9.645296003752296,19.57,19.57,-0.69,484.3200000000001,4.33,4.8432,100.0,3.4733873610641246,12.064419760000003,5.959950167576907,15.09,15.09,-2.96,11.509193359999998,-0.36093922,0.1150919335999999,100.0,3.145673717013324,9.895263133908422,3.147778468553371,10.760075,10.760075,-8.308413,859.07,1.1072482059827558,1.3711766836141186,8.502656666666667,3.3822871241656585,0.08,1776.3607954719546,4.599269425596087,4.8775,0.5104806113642049,9303.173499999999,3.2693700000000003,20.26,0.2703518646938723,0.2849141926656537,484.32,1.1329030542436018,1.2322209829649384,4.788606666666667,2.941386270082049,0.12,978.2607578239002,3.9620958635749335,3.4799999999999995,0.7171678561827148,3552.1006000000007,2.516776,18.05,1.236210614696704,0.6751441403728915,85.30078842984656,1.427044088038114,1.1836888664827279,0.1299608117000001,2.521773400085779,0.3,1029.863480962246,4.811249604243081,2.62532199,27.331834809084526,990.8509287088207,2.168754338792,19.068488000000002,2.7816003164339334,1.1161394456015352,15.841334113400002,-0.2592555815902195,0.059496395615475914,-0.08745022811793991,0.0007131313131313129,0.09760342832866072,0.0003333333333333325,0.07909669315898654,-0.00021737523232323428,0.0902325955703249
8054_8,889.5699999999999,8.35,8.8957,100.0,4.7035234144203,22.12313251,10.062634396618014,19.57,19.57,-0.15,489.55,4.86,4.8955,100.0,3.737345414863336,13.96775075,6.159031660902548,13.67,13.67,-4.79,2.628727991999998,-0.27240697,0.0262872799199999,100.0,2.544299388501087,6.473459378327005,2.544435182788628,9.112013,9.112013,-4.5900574,889.5699999999999,1.0457886907847032,1.3703331968116312,8.784773333333334,3.5865779419796837,0.04,2327.8263867043343,4.490312616922011,5.512499999999998,0.5287412361500838,10125.661099999998,3.646183999999999,19.72,-0.1082621592523827,0.2581155939769799,489.55,1.1726654134976107,1.2205989345292663,4.85545,3.058062066185001,0.1,1257.7432932855108,4.341669438965378,3.0550000000000006,0.7634246583318018,3793.3670999999995,2.6376099999999996,18.46,0.41883775294482994,0.1869900715471793,68.07448297015563,1.156984072228346,1.3698781552879555,0.015048223729999978,2.026446382561102,0.28,655.4291471281482,4.679180904903146,2.2269268325000002,96.78823355798497,647.4150399412596,1.8320974952592002,13.7020704,2.2469530195615857,1.1988465253932872,16.002262802479997,-0.3073549756987855,0.29658664461192824,-0.2617261685342528,0.00038989898989898896,0.09887343352774573,0.0007353535353535339,0.08809466363082698,-0.00019261097777777787,0.05917087194742516
8054_9,864.13,8.08,8.6413,100.0,4.477808092136152,20.05076531,9.732565489119503,19.57,19.57,-1.8,483.6700000000001,4.48,4.8367,100.0,3.469281209415,12.035912110000002,5.952275111249479,13.48,13.48,-5.13,-36.48891174,-0.36093922,-0.3648891173999999,100.0,2.7075896637017145,7.331041786984364,2.732066224486756,10.882658,10.882658,-7.1234417,864.13,1.1099855269919452,1.3501019694478436,8.618479999999998,3.3863393513211273,0.08,1914.351956002227,4.568723060083032,3.097500000000001,0.518186857548766,9472.2831,3.1277860000000004,21.37,0.7287852496953624,0.20439577564897587,483.67,1.108510617167633,1.2783443885472108,4.888095,2.8236924715168965,0.1,1192.3261032964838,4.14481070151904,2.8575,0.7172826946916284,3542.9579000000003,2.4653039999999997,18.61,1.0322762511772376,-0.00040872255488766206,65.27852825683551,1.5038897039538721,1.1714170869058178,-0.38519251799,2.324474267005881,0.38,968.9206726268962,4.711436209165289,2.669588205,-7.420308073297762,746.4185854981316,1.9181535662000002,18.0060997,3.0782797872352488,0.8762952017471087,15.97996647104,-0.33019110696374954,-0.028202489342028146,-0.2174980637819751,0.00024848484848484883,0.09990682969104984,-0.0008747474747474743,0.07730213365335056,0.0003797188141414133,0.08184858678046525
