,p_value,Significant
x-axis__sum_values,2.7485665120139625e-99,True
x-axis__median,5.135587047008082e-97,True
x-axis__mean,1.0704920970573563e-99,True
x-axis__length,3.7542584545346617e-10,True
x-axis__standard_deviation,0.0,True
x-axis__variance,0.0,True
x-axis__root_mean_square,0.0,True
x-axis__maximum,0.0,True
x-axis__absolute_maximum,0.0,True
x-axis__minimum,0.0,True
y-axis__sum_values,0.0,True
y-axis__median,3.564199843109872e-214,True
y-axis__mean,0.0,True
y-axis__length,3.7542584545346617e-10,True
y-axis__standard_deviation,0.0,True
y-axis__variance,0.0,True
y-axis__root_mean_square,0.0,True
y-axis__maximum,0.0,True
y-axis__absolute_maximum,0.0,True
y-axis__minimum,0.0,True
z-axis__sum_values,5.795052034151208e-163,True
z-axis__median,3.251251013005485e-203,True
z-axis__mean,9.799728301104562e-164,True
z-axis__length,3.7542584545346617e-10,True
z-axis__standard_deviation,0.0,True
z-axis__variance,0.0,True
z-axis__root_mean_square,0.0,True
z-axis__maximum,0.0,True
z-axis__absolute_maximum,0.0,True
z-axis__minimum,0.0,True
x-axis__fft_peak,1.1062579448193714e-149,True
x-axis__hjorth_mobility,3.981689980469447e-35,True
x-axis__hjorth_complexity,4.670668569882517e-34,True
x-axis__rolling_mean,1.6002130060482096e-99,True
x-axis__rolling_std,0.0,True
x-axis__zero_crossing_rate,0.0,True
x-axis__spectral_energy,0.0,True
x-axis__spectral_entropy,2.753582159900913e-236,True
x-axis__iqr,0.0,True
x-axis__coeff_var,4.28053121884985e-43,True
x-axis__energy,0.0,True
x-axis_MAD,0.0,True
x-axis_range,0.0,True
x-axis_kurtosis,0.0,True
x-axis_skewness,5.731730574725391e-12,True
y-axis__fft_peak,0.0,True
y-axis__hjorth_mobility,5.864234899274243e-118,True
y-axis__hjorth_complexity,1.481177943669641e-192,True
y-axis__rolling_mean,0.0,True
y-axis__rolling_std,0.0,True
y-axis__zero_crossing_rate,0.0,True
y-axis__spectral_energy,0.0,True
y-axis__spectral_entropy,5.296237663396437e-211,True
y-axis__iqr,0.0,True
y-axis__coeff_var,0.0,True
y-axis__energy,0.0,True
y-axis_MAD,0.0,True
y-axis_range,0.0,True
y-axis_kurtosis,0.0,True
y-axis_skewness,1.410960805735408e-176,True
z-axis__fft_peak,8.279071367823696e-268,True
z-axis__hjorth_mobility,2.077642883184833e-188,True
z-axis__hjorth_complexity,1.5922714114861632e-229,True
z-axis__rolling_mean,5.665734591321735e-163,True
z-axis__rolling_std,0.0,True
z-axis__zero_crossing_rate,0.0,True
z-axis__spectral_energy,0.0,True
z-axis__spectral_entropy,1.3541626296147787e-203,True
z-axis__iqr,0.0,True
z-axis__coeff_var,1.8956367630973703e-16,True
z-axis__energy,0.0,True
z-axis_MAD,0.0,True
z-axis_range,0.0,True
z-axis_kurtosis,0.0,True
z-axis_skewness,0.0,True
sma,0.0,True
corr_xy,1.7023325301569485e-16,True
corr_xz,1.1994710453970952e-29,True
corr_yz,4.7309983614883947e-79,True
jerk_x_mean,0.9226774270364834,False
jerk_x_std,0.0,True
jerk_y_mean,0.7158886889883758,False
jerk_y_std,0.0,True
jerk_z_mean,0.19506620215939935,False
jerk_z_std,0.0,True
