,x-axis__sum_values,x-axis__median,x-axis__mean,x-axis__length,x-axis__standard_deviation,x-axis__variance,x-axis__root_mean_square,x-axis__maximum,x-axis__absolute_maximum,x-axis__minimum,y-axis__sum_values,y-axis__median,y-axis__mean,y-axis__length,y-axis__standard_deviation,y-axis__variance,y-axis__root_mean_square,y-axis__maximum,y-axis__absolute_maximum,y-axis__minimum,z-axis__sum_values,z-axis__median,z-axis__mean,z-axis__length,z-axis__standard_deviation,z-axis__variance,z-axis__root_mean_square,z-axis__maximum,z-axis__absolute_maximum,z-axis__minimum,x-axis__fft_peak,x-axis__hjorth_mobility,x-axis__hjorth_complexity,x-axis__rolling_mean,x-axis__rolling_std,x-axis__zero_crossing_rate,x-axis__spectral_energy,x-axis__spectral_entropy,x-axis__iqr,x-axis__coeff_var,x-axis__energy,x-axis_MAD,x-axis_range,x-axis_kurtosis,x-axis_skewness,y-axis__fft_peak,y-axis__hjorth_mobility,y-axis__hjorth_complexity,y-axis__rolling_mean,y-axis__rolling_std,y-axis__zero_crossing_rate,y-axis__spectral_energy,y-axis__spectral_entropy,y-axis__iqr,y-axis__coeff_var,y-axis__energy,y-axis_MAD,y-axis_range,y-axis_kurtosis,y-axis_skewness,z-axis__fft_peak,z-axis__hjorth_mobility,z-axis__hjorth_complexity,z-axis__rolling_mean,z-axis__rolling_std,z-axis__zero_crossing_rate,z-axis__spectral_energy,z-axis__spectral_entropy,z-axis__iqr,z-axis__coeff_var,z-axis__energy,z-axis_MAD,z-axis_range,z-axis_kurtosis,z-axis_skewness,sma,corr_xy,corr_xz,corr_yz,jerk_x_std,jerk_y_std,jerk_z_std
x-axis__sum_values,1.0,0.981816516194226,0.9995038830973837,0.012191453533541915,0.021972138066395835,0.011292890491250327,0.17197406607443375,0.6081646416598024,0.139976074634651,0.6589404580866067,0.03013846455717939,0.08547359427210295,0.03071575820416838,0.012191453533541915,0.05627422544847232,0.0609008419535044,0.16438915563081627,0.014194603629435573,0.06423293683833906,0.05753927511982117,0.04695609351392445,0.09163736631164224,0.04690175305198186,0.012191453533541915,0.10903355296879164,0.1337565188295525,0.02888375080318037,0.06695036210015892,0.060672682657381155,0.10677300687004591,0.2903787268493258,0.06364906158236662,0.04841262327919074,0.9991702092301971,0.011981968377471312,0.17989043620632397,0.011398698199447723,0.08000361406614823,0.07619287539626463,0.000736612560213495,0.17053652059104002,0.03835717417147917,0.025099185837879824,0.07937599624655842,0.1394970012184198,0.1383898156089873,0.04660524119085111,0.007925565591792543,0.030869200190057875,0.05813192357928983,0.04672544221162788,0.06321029713660631,0.08312929151859491,0.05460016642943929,0.03345196994407173,0.18107118219556603,0.06278261541718992,0.03897074654488019,0.03185512890721879,0.2278739287308229,0.08289295988451251,0.10312884770316721,0.05359824340528662,0.04756824322247942,0.11637982848652323,0.06922810576397753,0.1324818623345358,0.16063510598266437,0.13905421471028484,0.014656136299630161,0.04384501298817446,0.11649167858504327,0.1048183661464283,0.10589298851732015,0.175831821705147,0.02631715508175974,0.3009155983032064,0.1334878619327825,0.09285903584641106,0.01064166314333621,0.05774013657087212,0.08722420433533935
x-axis__median,0.981816516194226,1.0,0.9823835382081794,0.016163318572877693,0.024258204197866843,0.010728105661826358,0.18439068312923912,0.571559798231293,0.14531717275641118,0.6297916389303285,0.056708278589351936,0.10885608493877302,0.057472159355722155,0.016163318572877693,0.04522861313506605,0.04852171695094827,0.1820543758606819,0.004902280773798583,0.0666846424968916,0.026809806898873155,0.06357494486323935,0.1096175789795906,0.06342151864034196,0.016163318572877693,0.09000659920046877,0.11038393019296312,0.001529966160375154,0.060469456738582596,0.04212704658907272,0.09217807442058172,0.30752488114911786,0.0587592403473706,0.052906816609301195,0.9820717905162327,0.009690901639339803,0.179088519335951,0.009506432063332246,0.08799491426422612,0.08567167657758579,0.0028673277199326636,0.18607058568093812,0.04327953478365057,0.030748905878683216,0.08878171575345879,0.04782690146331389,0.17182511294933622,0.0380004655416285,0.0015912232257065935,0.05737003570613141,0.04817807213558491,0.034261705940326403,0.05082283740972713,0.07963212132468951,0.04793635866366833,0.03598644721585497,0.20258347969949744,0.05325060251929852,0.024205293831341387,0.03086800389618547,0.20602477597346727,0.10506537310731416,0.087186899202089,0.04637260696369895,0.064423560162272,0.09943022526391239,0.08209149889350123,0.1096421904246015,0.15951578322784377,0.11537174676534527,0.015812164517062795,0.014628862615625123,0.09572885804617605,0.09190591053167091,0.09412863346964541,0.17502842018803413,0.033309884874876135,0.2703387489816392,0.09687414502514632,0.07315218040319005,0.006544650367111904,0.047482944842536935,0.07377797358281778
x-axis__mean,0.9995038830973837,0.9823835382081794,1.0,0.014596256103284718,0.022037601931620895,0.011182101654950866,0.17156669911198327,0.6086961434167316,0.1396911931358442,0.6592637835281807,0.029730035018062765,0.08507261857951268,0.03038203078090947,0.014596256103284718,0.05597472968863161,0.060655929318415854,0.16349736170136328,0.01440502607285513,0.06378195973721154,0.05738766299909709,0.046783343510872,0.09156960331312806,0.04664369904537393,0.014596256103284718,0.10856388350957674,0.1333758414148283,0.02892870660635762,0.06630336544597223,0.06037217031054503,0.10651154520864374,0.28994576174005493,0.06303182637274587,0.04836423533702764,0.9996941090844045,0.011866649703357778,0.1793981970540027,0.011236828824883577,0.08045735209735759,0.07613770339661294,0.0007403258077685002,0.17034478232101355,0.03839365331723471,0.024949094440537847,0.08043937477559465,0.13965245202323326,0.1376982292229962,0.04598923209921585,0.007191336675314525,0.03049102526737945,0.05783610434956591,0.04719895454223233,0.06293699916778428,0.08324523569579238,0.05430885713682746,0.03340983601296211,0.18035315934897128,0.06244411034785469,0.03873792469646344,0.030501965266576475,0.2264229582887299,0.08261189899391477,0.10270914087301916,0.053437658263542825,0.04741026124500962,0.11583940284427718,0.06866026535763138,0.1321462002385627,0.16039938462986142,0.13885001472816377,0.014624339598688267,0.04379078419662464,0.11609473040464362,0.10430569817121782,0.10579607605338592,0.1763040381379833,0.026488171821060145,0.3009685039888281,0.1330409042566582,0.09223663745557911,0.010513750753931073,0.05747988212269011,0.08672482052958114
x-axis__length,0.012191453533541915,0.016163318572877693,0.014596256103284718,1.0,0.05442462826325182,0.039629706865496946,0.0355332888211953,0.059844434841444145,0.0606887009089482,0.03786062111313465,0.06443031905296877,0.004901675380664344,0.004931611162406958,1.0,0.061549405021845624,0.04613842986358816,0.01758779628541896,0.052828304701346154,0.05726366892888492,0.04975067648856235,0.0017094123762815138,0.014056203841331553,0.008419304828509494,1.0,0.053489651277377474,0.0381704948349648,0.0466569140305221,0.06955998633783639,0.07691740404377084,0.047001132841325406,0.04930760532166167,0.0006229999454631437,0.010576474306507497,0.015060280444128098,0.0539761916765227,0.057978134147116084,0.04404979457319219,0.14221889255637105,0.04988249941976735,0.0010173987713009314,0.04488761346740756,0.05217487204485821,0.0674858015818132,0.022173511795635665,0.012617531799315242,0.10581899516442468,0.016389210041217874,0.007125418294216915,0.0055425303466865835,0.05880634124865575,0.02706667375548991,0.052356459401138464,0.1067126026219091,0.05281904626354791,0.0013964622406247582,0.09509137561039928,0.05986753376639452,0.06788146967532291,0.022751876319694293,0.015336660366163542,0.04512439322820152,0.02044992955269349,0.015999013791719214,0.006027128209777196,0.046899726008340525,0.052411511071156665,0.04887244425224275,0.17147316467556958,0.047601490052380895,0.0005090555992199665,0.051630102904462474,0.05012121528416084,0.06738567133478987,0.018986909042736696,0.019774113294576946,0.04282862494623538,0.020653972019052738,0.027746741168083955,0.010249988882487009,0.05501377955267826,0.06039430569584732,0.04958100440063236
x-axis__standard_deviation,0.021972138066395835,0.024258204197866843,0.022037601931620895,0.05442462826325182,1.0,0.9504750872551347,0.800836873775333,0.708235980067965,0.8537566829447741,0.6533900172808813,0.2904432051266002,0.2640167102870453,0.2939619934014651,0.054424628263251895,0.805928909459332,0.7511826587504433,0.2863116299756916,0.373912988756444,0.5293426629563202,0.782032428311319,0.4145044088295812,0.4029625277833304,0.41480285032306835,0.054424628263251895,0.7601020915392466,0.6490971208406244,0.496594250662096,0.5057802373051022,0.628262050333396,0.7725787039240292,0.3747623302739918,0.2198627270229994,0.00016544263820027677,0.02192751601235362,0.9825888281105745,0.24062127549488643,0.9401457118861004,0.38653894573219927,0.9588137066086848,0.004494510774425934,0.7890199866991838,0.9957285211702063,0.9385260908949725,0.3690736822890851,0.041199268763532075,0.22201117772195095,0.15813326552090326,0.11048704727632644,0.2936015307676963,0.770687539193563,0.6666608055732252,0.7440965680626311,0.1500470141864828,0.7235954569642784,0.015393892851775224,0.3111475768459227,0.7840364146366748,0.8273170542581424,0.2329021906862223,0.13109152837368881,0.15661887521420667,0.38210913123316564,0.30999986168267996,0.41299594668531897,0.7722520956381402,0.5348906724072772,0.6425742894092996,0.20974170782449206,0.6671274428878611,0.009412843856881674,0.4181608166644498,0.7446618827705834,0.7697481688698924,0.2314680922950876,0.15145816941429968,0.8296601373381236,0.014631893337242475,0.1799987659822877,0.14480088489427942,0.9293864918324003,0.7675661314470256,0.787361180952026
x-axis__variance,0.011292890491250327,0.010728105661826358,0.011182101654950866,0.039629706865496946,0.9504750872551347,1.0,0.7936266773721491,0.6104748623743205,0.7248900523148061,0.599177027608119,0.36100498604502906,0.3258936642119752,0.3637402633670962,0.03962970686549694,0.697105173399384,0.7024854851922712,0.20255058146892024,0.18834945345285442,0.34810526319059165,0.7438405783874792,0.31032483351149864,0.28582101499359225,0.3104418628848339,0.03962970686549694,0.644051194597637,0.59138439705371,0.4900933014611743,0.3974838442914732,0.5065050800510241,0.6580667346198238,0.37465821174873887,0.2962263055998456,0.05538728900242514,0.011228404090808337,0.9288867189698125,0.13369553494280814,0.9905206299795197,0.3763112985182725,0.9340673949090033,0.005371104001492973,0.8181077375998445,0.9535642529184105,0.8334831889186399,0.3103069283367636,0.028422835734146792,0.27473231726758585,0.15591726022292987,0.08487182022853376,0.36330182006528533,0.6592822318549955,0.6086057184257793,0.6960974281547654,0.09144697555988121,0.638492431703835,0.009266483496921833,0.2423905352579719,0.682297137510599,0.6990601958381677,0.14894767319396712,0.164345711442084,0.059637647655806654,0.2914483755484359,0.23010960158230703,0.30835297555711727,0.6627792486053792,0.3787150699841324,0.58676177081322,0.19789908818612414,0.578435703269952,0.0048123321534747745,0.43349425361952343,0.6368484017603547,0.6379928333764339,0.23976811571780246,0.21498691787966187,0.8127971452949164,0.011585794955319967,0.1703950271246529,0.2351399242423216,0.8355029188282801,0.6422134405265907,0.6684769968518115
x-axis__root_mean_square,0.17197406607443375,0.18439068312923912,0.17156669911198327,0.0355332888211953,0.800836873775333,0.7936266773721491,1.0,0.6003723519314991,0.8510006360063503,0.36949988655085453,0.5489472261448534,0.5361639255519439,0.5527875119656724,0.0355332888211953,0.49542886586098484,0.49992203786974587,0.22060415952201534,0.040589083307876875,0.07828637508938165,0.6880052791860172,0.32708897200399234,0.3245602012356143,0.3273863627218986,0.0355332888211953,0.4989854403058624,0.44568400198145913,0.46028522293914814,0.296168331702509,0.43899472681263646,0.5427358994755708,0.8398889197084722,0.3149458451391311,0.07716126418686557,0.17134797820082792,0.7743947345355532,0.22571680112636755,0.7855831498800369,0.3567119689471655,0.8168372189625787,0.010671550266698013,0.9733339266860204,0.815165903899576,0.6699985439271193,0.29690204372579554,0.026475851592921353,0.6107273291942273,0.14508919758288982,0.06843138661825919,0.5524929119227218,0.46892817890831034,0.6127407086341151,0.4951244953242879,0.047981065326215606,0.44183779639886706,0.03092671012743962,0.1793493913047431,0.47584693266579037,0.5337911089079553,0.0601610958347575,0.0056034147337459626,0.06787618058640778,0.33794997170496843,0.24402926493038354,0.3258443098922809,0.5210416089510157,0.26579716165055306,0.4403441950996424,0.2591464638633247,0.42253289526182214,0.015237199817413002,0.39618034444242806,0.48784169787267617,0.5094052436949477,0.16209658681957634,0.13810031613112625,0.7285454137926524,0.06218739838788555,0.1530443354365103,0.2417831851537523,0.6877430487568552,0.43944978758493763,0.5380416484268276
x-axis__maximum,0.6081646416598024,0.571559798231293,0.6086961434167316,0.059844434841444145,0.708235980067965,0.6104748623743205,0.6003723519314991,1.0,0.7353090715450566,0.05326811861800208,0.13335081278288388,0.1430484532842792,0.13697593250002682,0.059844434841444125,0.5469085210145158,0.4739616420271167,0.2108674392031693,0.37911436846378144,0.44242926909578045,0.466789150307896,0.34227627071682853,0.3620669852770638,0.34248223808168676,0.059844434841444125,0.4633051050591981,0.34016614097682,0.26699191168113084,0.347633214387386,0.4196412710210615,0.4887527895797987,0.34745218568386393,0.147869567220932,0.012138618841777206,0.6083859889616091,0.6712004822159292,0.12217644419668248,0.6001384595376176,0.1905291623122232,0.6565782766298042,0.002807379513847134,0.5584012857247572,0.6947779288467193,0.7330379964327078,0.24466820301014627,0.3264475717089788,0.09200675617686832,0.0584884099722513,0.11102873157117839,0.13688746166147886,0.521346042858378,0.37420305738861526,0.46805244535820206,0.05263830956492513,0.47805422459956115,0.024992196345963242,0.2188987985766484,0.5246981671304382,0.5756998259745597,0.1710404252023119,0.0732805112262827,0.1457082794377299,0.409595723122204,0.30650839441909183,0.34161618348667594,0.46889295013919696,0.4275950230470251,0.3370134004724854,0.27505285579618366,0.36105751058948804,0.008053037464220734,0.1930022415859843,0.43976424214660087,0.5016225776857445,0.04711540692008782,0.04309298951090457,0.5831639363142409,0.2453171482647092,0.2820439514615466,0.08547745953537983,0.6611382240537546,0.5308586189941791,0.5098487338958357
x-axis__absolute_maximum,0.139976074634651,0.14531717275641118,0.1396911931358442,0.0606887009089482,0.8537566829447741,0.7248900523148061,0.8510006360063503,0.7353090715450566,1.0,0.5139145688834252,0.3277102628235118,0.3217549908617102,0.33245642616964033,0.060688700908948116,0.6434118036789525,0.5624362771226977,0.06368437386451371,0.3040871526147892,0.4263556306367958,0.6675917411939855,0.4473877811072493,0.4663982806842395,0.447856224663146,0.060688700908948116,0.643376928088513,0.5176299026382084,0.40720711106459817,0.45166474273315194,0.575146653727171,0.6769936091647871,0.6002461617019148,0.19189009262469012,0.023499896340267532,0.13941563478062677,0.829765102599985,0.032051398144237006,0.7145740948298966,0.3237239747098888,0.7918035370089169,0.00909874782282895,0.7744103051741815,0.8412718198522878,0.8623850139901817,0.2678212008020401,0.07034916631196594,0.3389952454114852,0.10567498233218688,0.1349310287791262,0.3322873002027067,0.6205721456390555,0.594520056686561,0.5563950578409073,0.10535537405448289,0.5487076449317503,0.02248036170699166,0.08005885242598501,0.6133658760857094,0.6983158943326915,0.17371070093126498,0.024001604648239038,0.14270468037794332,0.4479243827199208,0.3484837939653692,0.4467186898813659,0.6578423052107463,0.4967942578593433,0.5102580021766607,0.25454442932516536,0.5399186069621913,0.011403997064476088,0.32729587547384237,0.6223927981191743,0.678997029815385,0.1334561924781674,0.03462750524009508,0.7040408025097581,0.06935370279300467,0.17744934522136668,0.09585291794331871,0.8080076543747029,0.6232114802419002,0.6848238912055461
x-axis__minimum,0.6589404580866067,0.6297916389303285,0.6592637835281807,0.03786062111313465,0.6533900172808813,0.599177027608119,0.36949988655085453,0.05326811861800208,0.5139145688834252,1.0,0.12603352125715575,0.07695132374909967,0.1286724772477625,0.03786062111313467,0.6525884819057541,0.6010777497554058,0.3801893692382608,0.34846825605181986,0.49272225416237175,0.5925946684436479,0.2877973280330272,0.2558358293886242,0.288203506380454,0.03786062111313467,0.6592688049052887,0.5890786398277674,0.3912049603225756,0.4422450071736698,0.5406299967474602,0.6581621352849235,0.0194366373897044,0.0161615423858665,0.08081179330268988,0.659132680166474,0.6677103266582315,0.39355655490563063,0.5912540058980296,0.2553541342239811,0.5519018410652514,0.0025140030869437156,0.3467878835787167,0.6256569467474412,0.7182695472808582,0.14666419576989395,0.22330737471257658,0.003397943617324517,0.16296767082039804,0.07512834363308171,0.12848914830713917,0.6289812430981409,0.4981685483175425,0.5955862522758301,0.21301999071235103,0.5844365351971745,0.007957628125925318,0.4048915927849669,0.6394779315780412,0.661111049009427,0.21225985844202933,0.25102940968442367,0.1705410638589969,0.1806953773176594,0.19692527724780162,0.286615859643433,0.6650755885292311,0.4373697361176041,0.5815001513661885,0.01718048590152634,0.6184783014447448,0.00983534624813276,0.34615336810764535,0.654787388213458,0.6617759458875812,0.24456590890397184,0.22174478960841804,0.5480159875686984,0.24848344514294585,0.05243267473720302,0.009633612649400113,0.668000475815571,0.6284511905552077,0.6464080979684668
